id,name
1179,Afghanistan
1180,Afghanistan-Mobile AWCC
1181,Afghanistan-Mobile Etisalat
1182,Afghanistan-Mobile MTN
1183,Afghanistan-Mobile Others
1184,Afghanistan-Mobile Roshan
1185,Albania
2375,Albania-Fixed AMC
1186,Albania-Fixed Tirana
1187,Albania-Interactive TV Services
1188,Albania-Mobile AMC
1189,Albania-Mobile Others
1190,Albania-Mobile Plus
1191,Albania-Mobile Vodafone
1192,Albania-OLO
1193,Algeria
1194,Algeria-Fixed Algiers
1195,Algeria-Mobile Mobilis
1196,Algeria-Mobile Orascom
1197,Algeria-Mobile Others
1198,Algeria-Mobile Wataniya
1199,American Samoa
1200,American Samoa-Mobile
1201,Andorra
1202,Andorra-Mobile
1203,Angola
1204,Angola-Mobile Movicel
1205,Angola-Mobile Others
1206,Angola-Mobile Unitel
1207,Anguilla
1208,Anguilla-Mobile C&W
1209,Anguilla-Mobile Digicel
1210,Anguilla-Mobile Others
1211,Antarctica & Islands
1212,Antigua & Barbuda
1213,Antigua & Barbuda-Mobile
1214,Antigua & Barbuda-Special Services
1215,Argentina
1216,Argentina-Fixed Buenos Aires
1217,Argentina-Fixed Cities
1218,Argentina-Mobile
1219,Armenia
1220,Armenia-Fixed Karabakh
1221,Armenia-Fixed Yerevan
1222,Armenia-Mobile Armentel
1223,Armenia-Mobile K Telecom
1224,Armenia-Mobile Karabakh
1225,Armenia-Mobile Orange
1226,Armenia-Mobile Others
2376,Armenia-Special Services
1227,Aruba
1228,Aruba-Mobile Digicel
1229,Aruba-Mobile Others
1230,Ascension Island
1231,Australia
1232,Australia-Fixed Cities
1233,Australia-Fixed Melbourne
1234,Australia-Fixed Sidney
1235,Australia-Mobile H3G
1236,Australia-Mobile Optus
1237,Australia-Mobile Others
1238,Australia-Mobile Telstra
1239,Australia-Mobile Vodafone
1240,Australia-Special Services
1241,Austria
1242,Austria-Corporate Numbering Services
1243,Austria-Fixed Vienna
1244,Austria-Mobile H3G
1245,Austria-Mobile Mobilkom A1
1246,Austria-Mobile Orange
1247,Austria-Mobile Others
1248,Austria-Mobile T-Mobile
1249,Austria-Special Services
1250,Azerbaijan
1251,Azerbaijan-Fixed Baku
1252,Azerbaijan-Mobile Azercell
1253,Azerbaijan-Mobile Bakcell
1254,Azerbaijan-Mobile Others
2357,Azerbaijan-Special Services
1255,Bahamas
1256,Bahamas-Mobile
1257,Bahrain
1258,Bahrain-Mobile Mena
1259,Bahrain-Mobile MTC Vodafone
1260,Bahrain-Mobile Others
1261,Bahrain-Mobile STC
1262,Bahrain-Special Services
1263,Bangladesh
1264,Bangladesh-Fixed Chittagong
1265,Bangladesh-Fixed Dhaka
1266,Bangladesh-Fixed Sylhet
1267,Bangladesh-Mobile Grameen
1268,Bangladesh-Mobile Others
1269,Barbados
1270,Barbados-Mobile C&W
1271,Barbados-Mobile Digicel
1272,Barbados-Mobile Others
1273,Belarus
1274,Belarus-Fixed Minsk
1275,Belarus-Mobile MDC
1276,Belarus-Mobile MTS
1277,Belarus-Mobile Others
1278,Belarus-Special Services
1279,Belgium
1280,Belgium-Fixed Brussels
1281,Belgium-Mobile Base
1282,Belgium-Mobile Mobistar
1283,Belgium-Mobile Others
1284,Belgium-Mobile Proximus
1285,Belgium-Mobile Telenet
1286,Belgium-OLO
1287,Belgium-Special Services
1288,Belize
1289,Belize-Mobile Others
1290,Belize-Mobile Speednet
1291,Benin
1292,Benin-Mobile BBCom
1293,Benin-Mobile Globalcom
1294,Benin-Mobile Libercom
1295,Benin-Mobile MTN
1296,Benin-Mobile Others
1297,Benin-Mobile Telecel
1298,Bermuda
1299,Bermuda-Mobile
1300,Bhutan
1301,Bhutan-Mobile
1302,Bolivia
1303,Bolivia-Fixed Cochabamba
1304,Bolivia-Fixed La Paz
1305,Bolivia-Fixed Santa Cruz
1306,Bolivia-Mobile Entel
1307,Bolivia-Mobile Nuevatel
1308,Bolivia-Mobile Others
1309,Bolivia-Mobile Telecel
1310,Bolivia-Rural
1311,Bosnia & Herzegovina
1312,Bosnia & Herzegovina-Fixed BIH
1313,Bosnia & Herzegovina-Fixed Mostar
1314,Bosnia & Herzegovina-Fixed SRPSKE
1315,Bosnia & Herzegovina-Mobile BHT
1316,Bosnia & Herzegovina-Mobile Eronet
2358,Bosnia & Herzegovina-Mobile Others
1317,Bosnia & Herzegovina-Mobile Srpske
1318,Botswana
1319,Botswana-Mobile MTN
1320,Botswana-Mobile Orange
1321,Botswana-Mobile Others
1322,Brazil
1323,Brazil-Fixed Cities
1324,Brazil-Fixed Rio de Janeiro
1325,Brazil-Fixed Salvador
1326,Brazil-Fixed Sao Paulo
1327,Brazil-Mobile Others
1328,Brazil-Mobile TIM
1329,British Virgin Islands
1330,British Virgin Islands-Mobile
1331,Brunei
1332,Brunei-Mobile
1333,Bulgaria
1334,Bulgaria-Fixed Sofia
1335,Bulgaria-Mobile BTC
1336,Bulgaria-Mobile Globul
1337,Bulgaria-Mobile Maxtel
1338,Bulgaria-Mobile Mobikom
1339,Bulgaria-Mobile Mobiltel
1340,Bulgaria-Mobile Others
1341,Bulgaria-OLO
1342,Bulgaria-Special Services
1343,Burkina Faso
1344,Burkina Faso-Interactive TV Services
1345,Burkina Faso-Mobile Others
1346,Burkina Faso-Mobile Telecel
1347,Burkina Faso-Mobile Telmob
1348,Burkina Faso-Mobile Zain
1349,Burundi
1350,Burundi-Mobile Onatel
1351,Burundi-Mobile Others
1352,Burundi-Mobile Telecel
1353,Burundi-Special Services
1354,Cambodia
1355,Cambodia-Mobile
1356,Cameroon
2377,Cameroon-Fixed Douala
1357,Cameroon-Mobile MTN
1358,Cameroon-Mobile Orange
1359,Cameroon-Special Services
1360,Canada
1361,Canada-Directory Assistance
1362,Canada-Fixed Northwest Territories
1363,Cape Verde
1364,Cape Verde-Mobile Others
1365,Cape Verde-Mobile T Plus
1366,Cayman Islands
1367,Cayman Islands-Mobile C&W
1368,Cayman Islands-Mobile Digicel
1369,Cayman Islands-Mobile Others
1370,Central African Republic
1371,Central African Republic-Mobile
1372,Central African Republic-Special Services
1373,Chad
1374,Chad-Mobile Others
1375,Chad-Mobile Tigo
1376,Chad-Mobile Zain
1377,Chile
1378,Chile-Fixed Easter Island
1379,Chile-Fixed Santiago
1380,Chile-Mobile
1381,Chile-Rural
1382,Chile-Special Services
1383,China
1384,China-Fixed Beijing
1385,China-Fixed Shanghai
1386,China-Mobile Others
1387,China-Mobile UNCCL
1388,Christmas Islands
1389,Colombia
1390,Colombia-Fixed Barranquilla
1391,Colombia-Fixed Bogota
1392,Colombia-Fixed Cities
1393,Colombia-Fixed Lex
1394,Colombia-Mobile Avantel
1395,Colombia-Mobile Comcel
1396,Colombia-Mobile Movistar
1397,Colombia-Mobile Others
1398,Colombia-Mobile Tigo
1399,Comoros
1400,Comoros-Mobile
1401,Comoros-Special Services
1402,Congo
1403,Congo-Mobile MTN
1404,Congo-Mobile Others
1405,Congo-Mobile Warid
1406,Congo-Mobile Zain
1407,Cook Islands
1408,Costa Rica
1409,Costa Rica-Mobile Claro
1410,Costa Rica-Mobile Others
1411,Costa Rica-Mobile Telefonica
1412,Croatia
1413,Croatia-Mobile HT Mobile
1414,Croatia-Mobile Others
1415,Croatia-Mobile Tele2
1416,Croatia-Mobile VIPNet
1417,Cuba
1418,Cuba-Fixed Guantanamo
1419,Cuba-Mobile
1420,Cyprus
1421,Cyprus-Mobile MTN
1422,Cyprus-Mobile Others
1423,Cyprus-Mobile Vodafone
1424,Cyprus-Special Services
1425,Czech Republic
1426,Czech Republic-Fixed Prague
1427,Czech Republic-Mobile O2
1428,Czech Republic-Mobile Others
1429,Czech Republic-Mobile T-Mobile
1430,Czech Republic-Mobile Travel
1431,Czech Republic-Mobile Vodafone
1432,Czech Republic-Special Services
1433,Dem. Rep. of Congo
1434,Dem. Rep. of Congo-Mobile MTN
1435,Dem. Rep. of Congo-Mobile Others
1436,Dem. Rep. of Congo-Mobile SAIT
1437,Dem. Rep. of Congo-Mobile Vodacom
1438,Dem. Rep. of Congo-Mobile Zain
1439,Dem. Rep. of Congo-Special Services
1440,Denmark
1441,Denmark-Mobile Barablu
1442,Denmark-Mobile HI3G
1443,Denmark-Mobile Others
1444,Denmark-Mobile Sonofon
1445,Denmark-Mobile TDK
1446,Denmark-Mobile Telia
1447,Denmark-Special Services
1448,Diego Garcia
1449,Djibouti
1450,Djibouti-Mobile
1451,Dominica
1452,Dominica-Mobile
1453,Dominica-Mobile Digicel
1454,Dominica-Special Services
1455,Dominican Republic
1456,Dominican Republic-Mobile
1457,East Timor
1458,Ecuador
1459,Ecuador-Fixed Andinatel
1460,Ecuador-Fixed Cuenca
1461,Ecuador-Fixed Guayaquil
1462,Ecuador-Fixed Pacifitel
1463,Ecuador-Fixed Quito
1464,Ecuador-Mobile Alegro
1465,Ecuador-Mobile Movistar
1466,Ecuador-Mobile Others
1467,Ecuador-Mobile Porta
1468,Egypt
1469,Egypt-Fixed Cairo
1470,Egypt-Mobile Etisalat
1471,Egypt-Mobile Mobinil
1472,Egypt-Mobile Vodafone
1473,El Salvador
1474,El Salvador-Fixed CTE
1475,El Salvador-Fixed Digicel
1476,El Salvador-Fixed Telefonica
1477,El Salvador-Fixed Telemovil
1478,El Salvador-Mobile Digicel
1479,El Salvador-Mobile Others
1480,El Salvador-Mobile Personal
1481,El Salvador-Mobile Telefonica
1482,El Salvador-Mobile Telemovil
1483,Equatorial Guinea
1484,Equatorial Guinea-Mobile
1485,Eritrea
1486,Eritrea-Mobile
1487,Estonia
1488,Estonia-Mobile EMT
1489,Estonia-Mobile Others
1490,Estonia-Mobile Radiolinja
1491,Estonia-Mobile Tele2
1492,Estonia-Mobile Top Connect
1493,Estonia-Special Services
1494,Ethiopia
1495,Ethiopia-Fixed Addis Abeba
1496,Ethiopia-Mobile Addis Abeba
1497,Ethiopia-Mobile Others
1498,Falkland Islands
1499,Faroe Islands
1500,Faroe Islands-Mobile
1501,Fiji
1502,Fiji-Mobile
1503,Finland
1504,Finland-Corporate Numbering Services
1505,Finland-Fixed Helsinki
1506,Finland-Mobile DNA
1507,Finland-Mobile Elisa
1508,Finland-Mobile Others
1509,Finland-Mobile Sonera
1510,Finland-Special Services
1511,France
1512,France-Fixed Paris
1513,France-Mobile Bouygues
1514,France-Mobile Globalstar
1515,France-Mobile Orange
1516,France-Mobile Others
1517,France-Mobile SFR
1518,France-OLO
2359,France-Personal Number Services
1519,France-Special Services
1520,French Guiana
1521,French Guiana-Mobile Digicel
1522,French Guiana-Mobile Orange
1523,French Guiana-Mobile Others
1524,French Guiana-Mobile Outremer
1525,French Polynesia
1526,French Polynesia-Mobile
1527,Gabon
1528,Gabon-Mobile Libertis
1529,Gabon-Mobile Others
1530,Gabon-Mobile Telcel
1531,Gabon-Mobile Usan
1532,Gabon-Mobile Zain
2360,Gabon-Special Services
1533,Gambia
1534,Gambia-Mobile Africell
1535,Gambia-Mobile Comium
1536,Gambia-Mobile Gamcel
1537,Gambia-Mobile Others
1538,Georgia
1539,Georgia-Fixed Abkhazia
1540,Georgia-Fixed Tbilisi
1541,Georgia-Mobile Geocell
1542,Georgia-Mobile Magtikom
1543,Georgia-Mobile Others
1544,Georgia-Special Services
1545,Germany
1546,Germany-IP Phone
1547,Germany-Mobile E-Plus
1548,Germany-Mobile O2
1549,Germany-Mobile Others
1550,Germany-Mobile T-Mobile
1551,Germany-Mobile ViStream
1552,Germany-Mobile Vodafone
1553,Germany-Special Services
1554,Ghana
1555,Ghana-Fixed Accra
1556,Ghana-Mobile Globacom
1557,Ghana-Mobile MTN
1558,Ghana-Mobile Others
1559,Ghana-Mobile Tigo
1560,Ghana-Mobile Vodafone
1561,Ghana-Mobile Zain
1562,Gibraltar
1563,Gibraltar-Mobile
1564,Greece
1565,Greece-Fixed Athens
1566,Greece-Mobile Cosmote
1567,Greece-Mobile Others
1568,Greece-Mobile Vodafone
1569,Greece-Mobile Wind
1570,Greenland
1571,Greenland-Mobile
1572,Grenada
1573,Grenada-Mobile C&W
1574,Grenada-Mobile Digicel
1575,Grenada-Mobile Others
2361,Grenada-Special Services
1576,Guadeloupe
1577,Guadeloupe-Mobile Digicel
1578,Guadeloupe-Mobile Orange
1579,Guadeloupe-Mobile Others
1580,Guadeloupe-Mobile Outremer
1581,Guam
1582,Guatemala
1583,Guatemala-Fixed Telgua
1584,Guatemala-Mobile Comcel
1585,Guatemala-Mobile Others
1586,Guatemala-Mobile PCS
1587,Guatemala-Mobile Telefonica
1588,Guatemala-OLO
1589,Guinea
1590,Guinea Bissau
1591,Guinea Bissau-Mobile MTN
1592,Guinea Bissau-Mobile Orange
1593,Guinea Bissau-Mobile Others
1594,Guinea Bissau-Special Services
1595,Guinea-Mobile Cellcom
1596,Guinea-Mobile Intercel
1597,Guinea-Mobile MAI
1598,Guinea-Mobile MTN
1599,Guinea-Mobile Orange
1600,Guinea-Mobile Others
1601,Guinea-Mobile Sotelgui
1602,Guinea-Special Services
1603,Guyana
1604,Guyana-Mobile Digicel
1605,Guyana-Mobile Others
1606,Haiti
1607,Haiti-Fixed Haitel
1608,Haiti-Mobile Comcel
1609,Haiti-Mobile Digicel
1610,Haiti-Mobile Others
1611,Haiti-Special Services
1612,Honduras
1613,Honduras-Fixed Hondutel
1614,Honduras-Mobile Celtel
1615,Honduras-Mobile Digicel
1616,Honduras-Mobile Megatel
1617,Honduras-Mobile Others
1618,Hong Kong
1619,Hong Kong-Mobile
1620,Hungary
1621,Hungary-Fixed Budapest
1622,Hungary-Mobile Others
1623,Hungary-Mobile Pannon
1624,Hungary-Mobile T-Mobile
1625,Hungary-Mobile Vodafone
1626,Iceland
1627,Iceland-Mobile IMC
1628,Iceland-Mobile Others
1629,Iceland-Mobile Siminn
1630,Iceland-Mobile Vodafone
1631,India
1632,India-Fixed Cities
1633,India-Mobile AIRCEL
1634,India-Mobile Bharti
1635,India-Mobile BSNL
1636,India-Mobile Others
1637,India-Mobile Reliance
1638,India-Mobile Tata
1639,India-Mobile Vodafone
1640,Indonesia
1641,Indonesia-Fixed Cities
1642,Indonesia-Fixed Jakarta
1643,Indonesia-Mobile
1644,Indonesia-Mobile Excelcom
1645,Indonesia-Mobile Indosat
1646,Indonesia-Mobile Satellite
1647,Indonesia-Mobile Telkomsel
1648,Iran
1649,Iran-Fixed Tehran
1650,Iran-Mobile MTN
1651,Iran-Mobile Others
1652,Iraq
1653,Iraq-Fixed Baghdad
1654,Iraq-Mobile AsiaCell
1655,Iraq-Mobile Atheer
1656,Iraq-Mobile Korek
1657,Iraq-Mobile Others
1658,Iraq-Mobile Sana
1659,Iraq-OLO
1660,Iraq-Special Services
1661,Ireland
1662,Ireland-Fixed Dublin
1663,Ireland-Mobile H3G
1664,Ireland-Mobile Meteor
1665,Ireland-Mobile O2
1666,Ireland-Mobile Others
1667,Ireland-Mobile Tesco
1668,Ireland-Mobile Vodafone
1669,Ireland-Paging Services
1670,Ireland-Special Services
1671,Israel
1672,Israel Palestine
1673,Israel Palestine-Mobile
1674,Israel-Mobile Cellcom
1675,Israel-Mobile Others
1676,Israel-Mobile Partner
1677,Italy
1678,Italy-Emergency Call
1679,Italy-Mobile Elsacom
1680,Italy-Mobile H3G
2371,Italy-Mobile H3G MNP
1681,Italy-Mobile Intermatica
1682,Italy-Mobile Others
1683,Italy-Mobile RFI
1684,Italy-Mobile TIM
2372,Italy-Mobile TIM MNP
1685,Italy-Mobile Vodafone
2373,Italy-Mobile Vodafone MNP
1686,Italy-Mobile Wind
2374,Italy-Mobile Wind MNP
1687,Italy-Special Services
1688,Italy-Toll Free Number
1689,Ivory Coast
2378,Ivory Coast-Fixed MTN
1690,Ivory Coast-Mobile Comium
1691,Ivory Coast-Mobile MOOV
1692,Ivory Coast-Mobile MTN
1693,Ivory Coast-Mobile Orange
1694,Ivory Coast-Mobile Oricel
1695,Ivory Coast-Mobile Others
1696,Ivory Coast-Special Services
1697,Jamaica
1698,Jamaica-Mobile C&W
1699,Jamaica-Mobile Centennial
1700,Jamaica-Mobile DigiCel
1701,Jamaica-Mobile Others
1702,Japan
1703,Japan-Fixed Tokyo
1704,Japan-IP Phone
1705,Japan-Military Services
1706,Japan-Mobile
1707,Jordan
1708,Jordan-Fixed Amman
1709,Jordan-Mobile FastLink
1710,Jordan-Mobile Orange
1711,Jordan-Mobile Others
1712,Jordan-Mobile Umniah
1713,Jordan-Mobile Xpress
1714,Kazakhstan
1715,Kazakhstan-Fixed Almaty
1716,Kazakhstan-Fixed Astana
1717,Kazakhstan-Fixed Karaganda
1718,Kazakhstan-Mobile
1719,Kazakhstan-OLO
1720,Kazakhstan-Special Services
1721,Kenya
1722,Kenya-Fixed Nairobi
1723,Kenya-Mobile Econet
1724,Kenya-Mobile Orange
1725,Kenya-Mobile Others
1726,Kenya-Mobile Safaricom
1727,Kenya-Mobile Zain
1728,Kenya-Special Services
1729,Kiribati
1730,Kiribati-Mobile
1731,Kuwait
1732,Kuwait-Mobile Others
1733,Kuwait-Mobile Zain
1734,Kyrgyzstan
1735,Kyrgyzstan-Fixed Bishkek
1736,Kyrgyzstan-Mobile
1737,Laos
1738,Laos-Mobile
1739,Latvia
1740,Latvia-Fixed Riga
1741,Latvia-Mobile Baltija
1742,Latvia-Mobile Bite
1743,Latvia-Mobile LMT
1744,Latvia-Mobile Master
1745,Latvia-Mobile Others
1746,Latvia-Mobile Tele2
1747,Latvia-Mobility Services
1748,Latvia-OLO
1749,Latvia-Special Services
1750,Lebanon
1751,Lebanon-Mobile
1752,Lesotho
1753,Lesotho-Mobile Econet
1754,Lesotho-Mobile Others
1755,Lesotho-Mobile Vodacom
1756,Liberia
1757,Liberia-Mobile Cellcom
1758,Liberia-Mobile Comium
1759,Liberia-Mobile Libercell
1760,Liberia-Mobile MTN
1761,Liberia-Mobile Others
1762,Liberia-Special Services
1763,Libya
1764,Libya-Mobile Al Hurra
1765,Libya-Mobile Others
1766,Liechtenstein
1767,Liechtenstein-Mobile
1768,Liechtenstein-Special Services
1769,Liechtenstein-Voice Mail Services
1770,Lithuania
1771,Lithuania-Mobile Bite
1772,Lithuania-Mobile Omnitel
1773,Lithuania-Mobile Others
1774,Lithuania-Mobile Tele2
1775,Lithuania-Special Services
1776,Luxembourg
1777,Luxembourg-Mobile LUX GSM
